Sample	posterior	likelihood	prior	treeLikelihood.AMR-seqsim	treeHeight.t:AMR-seqsim	treeLength.t:AMR-seqsim	Tree.t:AMR-seqsim.count_Resistant_to_Sensitive	Tree.t:AMR-seqsim.count_Sensitive_to_Resistant	Tree.t:AMR-seqsim.count_Resistant	Tree.t:AMR-seqsim.count_Sensitive	rootTypeLogger.t:AMR-seqsim	R0.t:AMR-seqsim1	R0.t:AMR-seqsim2	samplingProportion.t:AMR-seqsim1	samplingProportion.t:AMR-seqsim2	samplingProportion.t:AMR-seqsim3	samplingProportion.t:AMR-seqsim4	becomeUninfectiousRate.t:AMR-seqsim1	becomeUninfectiousRate.t:AMR-seqsim2	rateMatrix.t:AMR-seqsim1	rateMatrix.t:AMR-seqsim2	geo-frequencies.t:AMR-seqsim1	geo-frequencies.t:AMR-seqsim2	clockRate.c:AMR-seqsim	kappa.s:AMR-seqsim	freqParameter.s:AMR-seqsim1	freqParameter.s:AMR-seqsim2	freqParameter.s:AMR-seqsim3	freqParameter.s:AMR-seqsim4
13000	-12020.70248301766	-11335.076126992995	-685.6263560246643	-11335.076126992995	12.00870414243221	363.13367041601055	167	167	29	71	1	1.8615825359586289	2.356758545441396	0.0	0.11852285778411052	0.0	0.10494633369581052	0.44608174808554363	0.44608174808554363	1.1747947925705626	0.7397021591363352	0.4010771769061863	0.5989228230938138	0.004372666848880423	2.4018521777399706	0.2635456450960479	0.25020156689423734	0.25683962716706216	0.2294131608426525
14000	-11837.823401319005	-11155.34086166453	-682.4825396544754	-11155.34086166453	11.491338532549335	358.7980876539968	180	176	25	75	1	1.8191750532112696	2.0787370724024674	0.0	0.14801324522130466	0.0	0.13763769472899132	0.4358460881879215	0.4358460881879215	1.524768316651677	0.7856917484223644	0.41987247342674555	0.5801275265732546	0.004111980192342408	2.4018521777399706	0.2635456450960479	0.25020156689423734	0.25683962716706216	0.2294131608426525
15000	-11587.397248204012	-10927.03129860852	-660.3659495954923	-10927.03129860852	11.386902757652848	342.77322371991875	159	161	30	70	0	2.099759491438478	2.0291730675188377	0.0	0.13386955326398886	0.0	0.14243532303167009	0.4782922988527847	0.4782922988527847	1.331563312678056	0.7744637804619658	0.41987247342674555	0.5801275265732546	0.004160026016162979	2.4018521777399706	0.262027372705051	0.25020156689423734	0.25835789955805905	0.2294131608426525
16000	-11201.295955506599	-10549.688166119406	-651.6077893871935	-10549.688166119406	10.95741505314421	338.1869261140671	171	170	28	72	1	1.7600087326425016	2.766170489992863	0.0	0.12362234382936726	0.0	0.13149171221679415	0.44173373560005086	0.44173373560005086	1.341555146759629	0.7784768306325544	0.3256105725512808	0.6743894274487193	0.004223175345804065	2.4018521777399706	0.262027372705051	0.25020156689423734	0.25835789955805905	0.2294131608426525
17000	-11043.535620548346	-10402.13022629978	-641.405394248567	-10402.13022629978	10.883556005927705	331.5971385871443	186	188	31	69	1	1.8218380014409779	2.16540014705339	0.0	0.10568235226109518	0.0	0.1275416176620977	0.49005874085163426	0.49005874085163426	1.4388071908801565	0.9059553007102014	0.2662614418642167	0.7337385581357835	0.004167071161983588	2.4018521777399706	0.262027372705051	0.25020156689423734	0.25835789955805905	0.2294131608426525
18000	-10798.21920746319	-10165.187840295303	-633.0313671678866	-10165.187840295303	11.021091596939382	326.14686163720074	177	183	35	65	1	1.4995857080164647	2.7464619482289017	0.0	0.10517458478081984	0.0	0.14028194662126658	0.48238122644744197	0.48238122644744197	1.3230981471888696	1.0456929904651324	0.26650748660690193	0.7334925133930983	0.004064827610147745	2.4018521777399706	0.25501846934391625	0.24991688877210827	0.25835789955805905	0.23670674232591635
19000	-10529.134655664802	-9891.607326448373	-637.5273292164287	-9891.607326448373	10.138883043649185	326.2973616669175	175	180	33	67	0	1.6138413805091312	2.5366516992590893	0.0	0.12932523913135138	0.0	0.13226048256796327	0.4529346631751698	0.4529346631751698	1.5184172136820335	0.9256216899598646	0.3032628128842044	0.6967371871157958	0.004172476095998064	2.4018521777399706	0.25501846934391625	0.24991688877210827	0.25835789955805905	0.23670674232591635
20000	-10514.287288179381	-9863.932846262836	-650.3544419165443	-9863.932846262836	10.312158312871738	336.4394841120578	170	177	35	65	0	1.7482150837923076	2.2138716669593936	0.0	0.10443078818681512	0.0	0.13697654415318278	0.45880783198061104	0.45880783198061104	1.2111752717051367	0.8575751413366148	0.3032628128842044	0.6967371871157958	0.003841453984778918	2.4018521777399706	0.25501846934391625	0.24991688877210827	0.25835789955805905	0.23670674232591635
21000	-10232.810220787176	-9599.542636117423	-633.2675846697531	-9599.542636117423	10.256598912730274	324.26072875168364	154	157	31	69	0	2.0271855390345848	2.6569665113679033	0.0	0.10027886014522515	0.0	0.14976121155007893	0.4507183251337743	0.4507183251337743	0.9864969036126789	0.8698827400106814	0.2194801277969443	0.780519872203056	0.00380408468941196	2.4018521777399706	0.2601761988703229	0.24991688877210827	0.25835789955805905	0.2315490127995097
22000	-10155.164849651695	-9534.781197336286	-620.3836523154101	-9534.781197336286	10.300956858044358	314.21592688460197	144	153	38	62	1	1.8670514657025734	2.4194274311058215	0.0	0.09348203079351619	0.0	0.13961393506513126	0.5029503393204868	0.5029503393204868	0.9786282692051994	0.9363920694466951	0.2767442525144797	0.7232557474855205	0.003901903047517695	2.4018521777399706	0.25020016206214973	0.258752630305358	0.25835789955805905	0.2326893080744331
23000	-10038.961037121335	-9419.171533282552	-619.789503838783	-9419.171533282552	10.251822712029206	312.8628780363871	130	140	39	61	1	1.8572685928102315	2.390490066210548	0.0	0.12304420777661079	0.0	0.1660566928772091	0.45065183292070427	0.45065183292070427	0.8250557228484003	0.8880399449412839	0.2767442525144797	0.7232557474855205	0.003716268878033624	2.4018521777399706	0.25020016206214973	0.258752630305358	0.25835789955805905	0.2326893080744331
24000	-9850.319899467479	-9253.82245646568	-596.4974430017993	-9253.82245646568	10.96336653679943	302.07476426655955	127	126	28	72	1	1.9147718425923044	2.699662956028649	0.0	0.12262615394436147	0.0	0.1749063669159038	0.4693500565337931	0.4693500565337931	0.7671811041091015	0.8965889660922486	0.34261941625824727	0.657380583741753	0.0038487734050487144	2.4018521777399706	0.25020016206214973	0.258752630305358	0.25835789955805905	0.2326893080744331
25000	-9640.725033235154	-9051.90201332892	-588.8230199062351	-9051.90201332892	11.234216051379981	294.2743267183438	144	146	30	70	0	1.415166920167377	2.670194140867656	0.0	0.10562018220683597	0.0	0.16429912431863736	0.5151914845470348	0.5151914845470348	1.0423482811629796	1.247395059265567	0.25384326699924703	0.7461567330007532	0.0035815964797159504	2.4018521777399706	0.25020016206214973	0.258752630305358	0.25835789955805905	0.2326893080744331
26000	-9538.433433665698	-8937.210863476712	-601.2225701889856	-8937.210863476712	11.578822846255122	296.87721176234777	126	136	38	62	0	1.5003568996459256	2.845003022406225	0.0	0.10150216747268909	0.0	0.20589557601413766	0.4379872724269287	0.4379872724269287	0.8083423947367492	0.9985897071467476	0.25384326699924703	0.7461567330007532	0.0038606111829471183	2.4018521777399706	0.25020016206214973	0.258752630305358	0.25835789955805905	0.2326893080744331
27000	-9456.209330559672	-8867.258929033254	-588.9504015264183	-8867.258929033254	11.526430829727063	294.26633714861407	121	122	30	70	1	1.5051689411010305	3.124110661285183	0.0	0.10254692230103554	0.0	0.17566383925030132	0.4536202461667222	0.4536202461667222	0.7334348149807405	0.9902128034961114	0.25384326699924703	0.7461567330007532	0.0040834678603952675	2.4018521777399706	0.25819408810760486	0.25200507744927225	0.25529846111203713	0.23450237333108565
28000	-9332.841416645446	-8754.73863507571	-578.1027815697361	-8754.73863507571	10.822156064849061	285.647585447956	161	163	30	70	0	1.4359442848815072	2.884756458651074	0.0	0.092296881674676	0.0	0.18605055461150516	0.4977038087455866	0.4977038087455866	1.017875802834506	1.2883161719174065	0.2840018308586495	0.7159981691413508	0.0038236347852092637	2.4018521777399706	0.25819408810760486	0.25200507744927225	0.24715412493271777	0.242646709510405
29000	-9322.625472728012	-8739.980968838867	-582.6445038891454	-8739.980968838867	10.820754608162211	287.56798442958086	145	142	26	74	1	1.485483051308677	2.6536806498974173	0.0	0.10288792532623706	0.0	0.26017675238838855	0.44373955581443836	0.44373955581443836	0.8857650425547117	1.045535412563178	0.3487546547882502	0.6512453452117501	0.003814090514920977	2.4018521777399706	0.25819408810760486	0.25200507744927225	0.24715412493271777	0.242646709510405
30000	-9299.801140165422	-8726.01991631895	-573.7812238464726	-8726.01991631895	11.695117222680691	282.7603998787069	151	151	28	72	0	1.3348975270451113	3.049436404148543	0.0	0.10887144972944746	0.0	0.23133348299388648	0.4687485739066939	0.4687485739066939	0.9656883964658958	1.2929061834102062	0.3487546547882502	0.6512453452117501	0.00382793177371763	2.4018521777399706	0.25819408810760486	0.25200507744927225	0.23797964427388368	0.2518211901692391
31000	-9292.230936770042	-8719.509691391626	-572.7212453784161	-8719.509691391626	10.692113987592244	282.74263740556574	118	124	35	65	1	1.900234858806575	2.647807869570343	0.0	0.13103512234848894	0.0	0.2756364692204977	0.43478591749119544	0.43478591749119544	0.8242802741115324	0.9329227139607029	0.3822946794239791	0.6177053205760212	0.003830313487412455	2.4018521777399706	0.25819408810760486	0.25200507744927225	0.23797964427388368	0.2518211901692391
32000	-9276.255427134514	-8713.800450388504	-562.4549767460107	-8713.800450388504	10.831435952114292	276.40366117302665	109	123	43	57	1	2.038597293988083	2.3832375232544947	0.0	0.11892951810126938	0.0	0.3244124860601722	0.4870329016658865	0.4870329016658865	0.7091286703952925	0.9875153480449411	0.3822946794239791	0.6177053205760212	0.004029736702050918	2.4018521777399706	0.25819408810760486	0.25200507744927225	0.23797964427388368	0.2518211901692391
33000	-9253.84302344733	-8691.999053092208	-561.8439703551235	-8691.999053092208	11.107436866687292	274.35277740919526	116	127	40	60	1	2.100066514122727	2.582501450394986	0.0	0.12462026316940951	0.0	0.32991765300987547	0.4909965978350336	0.4909965978350336	0.7951616265536021	1.011829004418019	0.3822946794239791	0.6177053205760212	0.003930874869840465	2.4018521777399706	0.25819408810760486	0.24972962560303757	0.23797964427388368	0.2540966420154738
34000	-9246.683275560647	-8681.966890334834	-564.7163852258129	-8681.966890334834	10.957869999205057	274.03624004125425	113	134	49	51	0	1.7240610460393302	2.3920314723527762	0.0	0.1414237378564618	0.0	0.3825702474558221	0.511072483858175	0.511072483858175	0.7796711535955623	1.101357464811584	0.42642333374955754	0.5735766662504428	0.003839963076151669	2.4018521777399706	0.25819408810760486	0.2432119780308992	0.23797964427388368	0.2606142895876121
35000	-9236.376375102385	-8673.375315740584	-563.0010593618009	-8673.375315740584	10.588967771507004	272.14229878701	133	158	54	46	1	2.0083968163982893	2.968811062824267	0.0	0.14160696512469695	0.0	0.39091334187703064	0.45043851146794806	0.45043851146794806	0.8759396231359697	1.3843130504907049	0.42642333374955754	0.5735766662504428	0.003925807203905128	2.533711531034563	0.25819408810760486	0.2432119780308992	0.2334624091430243	0.2651315247184715
36000	-9231.51698737591	-8664.901718900697	-566.6152684752117	-8664.901718900697	11.471501878686167	270.1097937226133	122	139	46	54	1	1.460152924446939	2.3232696895451816	0.0	0.15739081964405494	0.0	0.45725750319748154	0.4598808494973592	0.4598808494973592	0.7494764567695249	1.0801291819621404	0.44728522184394326	0.5527147781560571	0.004132708802549655	2.533711531034563	0.25518647303392217	0.2432119780308992	0.23647002421670701	0.2651315247184715
37000	-9208.497801811585	-8660.119283915927	-548.3785178956593	-8660.119283915927	11.202617565812659	260.6127577444081	114	132	46	54	0	1.688991710194839	2.0767963355034653	0.0	0.11480571180559938	0.0	0.3688573415546832	0.5501146673318996	0.5501146673318996	0.7586028424431346	1.1364138887406328	0.581051659505644	0.41894834049435636	0.004081247353071814	2.9024902391887317	0.25518647303392217	0.2432119780308992	0.23647002421670701	0.2651315247184715
38000	-9209.39787395095	-8660.744864697846	-548.653009253103	-8660.744864697846	11.355588079278135	261.0948510878212	112	129	45	55	0	1.7515809463303738	2.138195312859223	0.0	0.09946793974554184	0.0	0.3722901269798891	0.5551095900780585	0.5551095900780585	0.8212259291780178	1.0007912436189752	0.5306828367860363	0.469317163213964	0.0038041861144437017	2.9024902391887317	0.2464706495596923	0.2432119780308992	0.24518584769093688	0.2651315247184715
39000	-9196.163323218629	-8650.829229073008	-545.3340941456199	-8650.829229073008	10.536350015653236	257.4294780252494	104	136	61	39	1	1.9470913359697604	2.152404128864037	0.0	0.13809782765583412	0.0	0.5003978879891593	0.47368808604159	0.47368808604159	0.9349893057641181	1.2643652829797891	0.5306828367860363	0.469317163213964	0.004375403957653758	2.9024902391887317	0.2385927168929656	0.2432119780308992	0.26077337964262476	0.25742192543351033
40000	-9174.222694009562	-8635.207880963055	-539.0148130465078	-8635.207880963055	11.358960845822173	258.6225061932179	105	129	52	48	0	2.135508761823952	2.4474225048828493	0.0	0.11636584493997428	0.0	0.38525023204537323	0.45462033748955505	0.45462033748955505	0.7399887876498271	1.0236312446435076	0.5614062621164448	0.43859373788355555	0.004122438168779465	2.250214699657848	0.24365793500986005	0.2432119780308992	0.2557081615257303	0.25742192543351033
41000	-9187.410816650503	-8647.730419145086	-539.6803975054164	-8647.730419145086	11.10729359411483	257.9392613344148	103	120	45	55	0	1.922390310408978	2.2583171502115635	0.0	0.10479395503528861	0.0	0.24155726451507578	0.5727764331987288	0.5727764331987288	0.8144768001827619	0.9950282863476982	0.6371146818853208	0.3628853181146795	0.004128833252136296	2.250214699657848	0.24365793500986005	0.2432119780308992	0.2557081615257303	0.25742192543351033
42000	-9165.155209439301	-8641.929949363099	-523.2252600762015	-8641.929949363099	11.630210302208011	248.339125310059	97	108	40	60	1	2.021120120899787	2.6925474227202337	0.0	0.1185677848603919	0.0	0.34912083101248614	0.48123153193493895	0.48123153193493895	0.8290682677248936	0.863371003462068	0.6711176064920358	0.3288823935079646	0.0042314014677683285	2.250214699657848	0.24365793500986005	0.2432119780308992	0.2557081615257303	0.25742192543351033
43000	-9157.29564441342	-8639.028808453591	-518.2668359598285	-8639.028808453591	10.804727694430099	248.67924917183637	85	101	45	55	1	1.6810131947150637	2.6937392648209397	0.0	0.14850657075719156	0.0	0.3828845322094178	0.46124322870108625	0.46124322870108625	0.6100385294223863	0.8538753353724832	0.6711176064920358	0.3288823935079646	0.004317474133533193	2.250214699657848	0.23824386615774598	0.2432119780308992	0.2557081615257303	0.2628359942856244
44000	-9144.054701439482	-8638.604178887437	-505.4505225520435	-8638.604178887437	10.131197601382329	243.30392085499088	75	95	48	52	0	1.8585436633769579	2.515849840607497	0.0	0.11025625958893108	0.0	0.36703005776638525	0.4868344994193822	0.4868344994193822	0.5740107268136636	0.9026724670474061	0.6555371375334749	0.3444628624665256	0.004435509198086883	2.250214699657848	0.23824386615774598	0.2432119780308992	0.2557081615257303	0.2628359942856244
