Time	Mean	Median	Upper	Lower
2019.3	0.39663800569899377	0.3298626398735326	1.0990481645741768	0.09074467432991203
2019.2002147037756	0.4254506723234678	0.3850524539911299	0.9239413587460281	0.13926258504192823
2019.1004294075512	0.5275262190060319	0.4920671581503458	1.0431459961363811	0.23025717490071704
2019.000644111327	0.7605905769344793	0.7110068301781219	1.4640756255377148	0.3237348483771344
2018.9008588151025	0.9270682089829311	0.8473804517813723	1.9073216348780855	0.4040051590074966
2018.8010735188782	1.1539833237591248	0.989388227317431	3.014007693663504	0.5130935436737802
2018.7012882226538	1.33711861389645	1.0882815112788273	3.649601480412172	0.5459485296365147
2018.6015029264295	1.4034658008283518	1.1257443506341303	3.792603131674659	0.5559454307244555
2018.5017176302051	1.438013618481472	1.145730712230473	3.8717189775236975	0.5605489202319838
2018.4019323339808	1.4618941624694375	1.1581590682420932	3.96687458915849	0.5625428198792551
2018.3021470377564	1.492979652102356	1.1767314888733276	4.032162255468605	0.5642843542253879
2018.202361741532	2.032447114644858	1.520159832784325	5.737335516939712	0.5950314307223235
2018.1025764453077	3.6868136432693293	3.376998376033748	8.619177241694205	0.9400284114669927
2018.0027911490834	4.352134536412632	3.8024235643780298	9.437781965664362	1.8887629334040281
2017.903005852859	4.920010052746877	4.1623309871948315	11.301251611099813	2.306009439599085
2017.8032205566346	4.354780334624102	3.676549088742598	10.571028032113169	1.7281673609629487
2017.7034352604103	3.0257552254284885	2.8834751447750833	6.17523027457257	1.1174622124551883
2017.603649964186	2.6926960827756576	2.667954096144737	4.830348846500189	0.9722579146887851
2017.5038646679616	3.3243716796177782	3.212480299497851	6.035078713743629	1.4849037265860756
2017.4040793717372	3.621261093858504	3.4430902628755518	6.619456277013409	1.7946219104438503
2017.3042940755129	3.7402606855715277	3.5292910180994066	6.883938924562585	1.9076328319297335
2017.2045087792885	3.8455209694606975	3.59880658094946	7.3693670661592545	1.9989495461094715
2017.1047234830642	4.042926066335815	3.7321821602278735	7.914227865338792	2.205335747304903
2017.0049381868398	4.26677485935571	3.888087377379995	8.706439062106625	2.4230629481140036
2016.9051528906155	3.8690534126019074	3.673797343982658	7.403605466517174	1.6089165995421273
2016.805367594391	3.7659323230480513	3.6663649062906707	6.172668712038905	2.065785416908948
2016.7055822981667	3.803085672872807	3.6961071692066336	6.110332013986982	2.1849531228291044
2016.6057970019424	3.972729762338727	3.8017391848675075	6.730404465746374	2.341202825950147
2016.506011705718	4.215142425060035	3.908392598062945	8.141542479476563	2.539623866696573
2016.4062264094937	4.258975934348128	3.929206494585635	8.500632514988377	2.5518173770702073
2016.3064411132693	4.248610380768196	3.9142397630316497	8.618440683545252	2.5186849233579878
2016.206655817045	4.084578667177017	3.8450790135855986	7.872132308949141	2.132718210278287
2016.1068705208206	3.461309982085371	3.468863008997793	5.681197689303278	1.4493985961968816
2016.0070852245963	3.4274500081276367	3.4302428948100996	5.594503458473015	1.4747317114249887
2015.907299928372	3.615060277071358	3.5740144419173414	6.028601844519621	1.6207926204569612
2015.8075146321476	3.925742165490248	3.7766442988440136	6.749617078893876	2.011387804687104
2015.7077293359232	4.099519009746472	3.892108939950917	7.423511640672614	2.185855526333984
2015.6079440396989	4.3073920091729745	4.040471969887817	7.922744086333935	2.36427863480118
2015.5081587434745	4.386761146095121	4.095517907821784	8.068135407069494	2.421768881904258
2015.4083734472501	4.413012652998054	4.108541114867913	8.247308278122196	2.432207187313108
2015.3085881510258	4.43432338501084	4.122341323313176	8.267633385776703	2.4120695590362797
2015.2088028548014	4.4919567578430675	4.15479438790295	8.329753828243218	2.432207187313108
2015.109017558577	4.60322926125054	4.214582103875886	8.59619097696153	2.4531002303829297
2015.0092322623527	4.740598458628912	4.3023895218208805	9.145378642119008	2.4956746513025787
2014.9094469661284	5.888691111483337	5.191049325300876	12.50213503784955	2.9063677112257835
2014.809661669904	8.357579371570756	7.3515794556540275	19.3155031641358	3.213173438028812
2014.7098763736797	4.7247057074012755	4.13954768694238	12.73142900692121	0.9265499101111428
2014.6100910774553	2.0788061455650744	1.6919744171560336	5.94192939322432	0.6770509176508347
2014.510305781231	1.7770167879812193	1.575110848726778	4.086090912187913	0.7492012079864693
2014.4105204850066	1.6477213438237586	1.4966694282927293	3.66770489129957	0.6823902103831485
2014.3107351887822	1.5292014157143514	1.4264692899720663	3.091620440783053	0.6504238508882034
2014.210949892558	1.5932000659013823	1.4727065427087298	3.183579441328746	0.6547837067844293
2014.1111645963335	2.00836620185968	1.8316679234421287	4.430987377968466	0.7345435696907655
2014.0113793001092	2.455349296620298	2.203147221807821	5.519233703994951	0.9330461108915195
2013.9115940038848	2.7154041924796415	2.417691008063789	6.069370443147022	1.1608611544123428
2013.8118087076605	2.8895394191866766	2.546101798094867	6.413788688083369	1.3211629640192453
2013.7120234114361	2.9804099974715683	2.611712735569969	6.645947407231036	1.3736069865944283
2013.6122381152118	3.00746296745903	2.6323287713061614	6.663797337216378	1.4072230084489574
2013.5124528189874	3.0236201073429645	2.6461554478361395	6.718006394482073	1.4109051936908665
2013.412667522763	3.0255870346081033	2.6469792991384677	6.718006394482073	1.4129723252114232
2013.3128822265387	3.027642623014881	2.6469792991384677	6.724628355064219	1.4129723252114232
2013.2130969303144	3.0305150980357385	2.648073269596274	6.732125109110427	1.4129723252114232
